Name,description,temperament,max_life_expectancy,image_url,rescue_id
shiba inu,"Brought to America from Japan as recently as 60 years ago, Shibas are growing in popularity in the West and are already the most popular breed in their homeland. Their white markings combined with their coloring (red, red sesame, or black and tan) and their alert expression and smooth stride makes them almost foxlike. They’re sturdy, muscular dogs with a bold, confident personality to match. An ancient Japanese breed, the Shiba Inu is a little but well-muscled dog once employed as a hunter. Today, the spirited, good-natured Shiba is the most popular companion dog in Japan. The adaptable Shiba is at home in town or country.","Alert, Active, Attentive",16,https://cdn2.thedogapi.com/images/xcrQRb4IQ.jpg,200
norfolk terrier,"Norfolk Terriers are among the smallest working terriers, standing no higher than 10 inches at the shoulder. The coat is hard, wiry, and straight. They share many traits with their close cousins, Norwich Terriers. To tell them apart, look at the ears: The Norwich has erect, pointed ears; Norfolk ears are neatly folded over.Bred to work in packs, Norfolks are more gregarious than a typical terrier, but they have plenty of the old terrier pep. Few Norfolks these days earn their living hunting rodents, but a good one will fearlessly do so when given a chance. Norfolks bond closely, sometimes jealously, with their owners and make nice watchdogs. They have a reputation as a good traveler: portable, adaptable, and up for anything. Norfolk Terriers are little, cute, and loyal, and they will gladly curl up in your lap, but don’t dare call them lapdogs. Norfolks, despite their toyish qualities, are genuine terriers—feisty, confident, sturdy, and game for adventure.","Fearless, Alert, Fun-Loving",16,https://cdn2.thedogapi.com/images/B1ADQg94X_1280.jpg,392
afghan hound,"The Afghan Hound is an ancient breed, his whole appearance one of dignity and aloofness – his eyes gazing into the distance as if in memory of ages past. An intelligent and independent mind, his whole appearance one of dignity and style. To his own he is devoted and loyal with a charming and lively personality. The Afghan Hound is an athlete capable of immense speed and requires a large fenced in yard and exercise daily.Since ancient times, Afghan Hounds have been famous for their elegant beauty. But the thick, silky, flowing coat that is the breed’s crowning glory isn’t just for show — it served as protection from the harsh climate in mountainous regions where Afghans originally earned their keep. Beneath the Afghan’s glamorous exterior is a powerful, agile hound — standing as high as 27 inches at the shoulder — built for a long day’s hunt. Their huge paw-pads acted as shock absorbers on their homeland’s punishing terrain.The Afghan Hound is a special breed for special people. A breed expert writes, “It’s not the breed for all would-be dog owners, but where the dog and owner combination is right, no animal can equal the Afghan Hound as a pet.” The Afghan Hound is an aloof and dignified aristocrat of sublime beauty. Despite his regal appearance, he is known for his profound loyalty, sensitive nature, and absolute love for those he calls his own.","Dignified, Profoundly Loyal, Aristocratic",18,https://cdn2.thedogapi.com/images/4WiUpv_4W.jpg,75
brittany,"Brittanys are smaller than setters but leggier than spaniels, standing about 20 inches at the shoulder. Their beautiful, boldly patterned coat comes in combinations of white and vivid orange and liver (reddish-brown). They are rugged and strong but smooth, clean, and quick afoot. The face has the “softness” prized by bird-dog lovers; high-set ears convey the breed’s essential eagerness.The zeal and versatility that make Brittanys peerless hunters can be channeled into dog sports. Obedience, agility, flyball, dock diving—you name it, this trainable breed is up for it. The Brittany is a nice fit for those seeking an all-purpose hunting partner, a dog-sport teammate, or a companion in sync with an upbeat, outdoorsy family life. Sportsmen on both sides of the Atlantic cherish the agile, energetic Brittany as a stylish and versatile gundog. Bright and eager at home, and tireless afield, Brittanys require a lot of exercises, preferably with their favorite humans.","Bright, Fun-Loving, Upbeat",14,https://cdn2.thedogapi.com/images/HJWZZxc4X_1280.jpg,106
chinook,"Tawny-coated, no-frills Chinooks are muscular and substantial, with males standing as high as 26 inches at the shoulder. Females, with their distinctly feminine look, are a bit smaller. Chinooks were conceived as dual-purpose haulers, with the power of freighting dogs and the speed of sled racers. They are the picture of stouthearted dignity, with a kindly twinkle in their dark, almond eyes.Chinooks are calm, people-oriented dogs with a special feel for children. They are trainable workers who aim to please. Sledding, carting, obedience, agility, search-and-rescue work, and herding are a few pursuits they’ve mastered. Chinooks are not particularly busy dogs, but they need consistent exercise to stay in proper hard condition. The pride of Wonalancet, New Hampshire, the Chinook is a rugged working dog and devoted family pet known for intelligence, patience, and eagerness to please. Once on the verge of extinction, the Chinook is among the scarcest AKC breeds.","Smart, Patient, Devoted",15,https://cdn2.thedogapi.com/images/Sypubg54Q_1280.jpg,343
doberman pinscher,"Dobermans are compactly-built dogs—muscular, fast, and powerful—standing between 24 to 28 inches at the shoulder. The body is sleek but substantial, and is covered with a glistening coat of black, blue, red, or fawn, with rust markings. These elegant qualities, combined with a noble, wedge-shaped head and an easy, athletic way of moving have earned Dobermans a reputation as royalty in the canine kingdom. A well-conditioned Doberman on patrol will deter all but the most foolish intruder. Sleek and powerful, possessing both a magnificent physique and keen intelligence, the Doberman Pinscher is one of dogkind's noblemen. This incomparably fearless and vigilant breed stands proudly among the world's finest protection dogs.","Loyal, Fearless, Alert",12,https://cdn2.thedogapi.com/images/HyL3bl94Q_1280.jpg,130
pekingese,"Pekingese are compact, stocky toy dogs weighing up to 14 pounds. The coat is longest at the neck and shoulders, giving Pekes their famous “lion’s mane.” Coats come in various reds, from a golden-red to darker shades. The large, short-muzzled head is a wider-than-long “envelope shaped” rectangle, and the eyes are large, dark, and sparkly. A unique feature of Pekes is their effortless “rolling” gait.Pekes are charming, confident companions who develop a tight bond with their favorite human. Bred to live in palaces, they can be as serenely independent as the emperors who owned them. (They’re “opinionated,” Peke people say.) Ever alert, they make good watchdogs. Pekes will tolerate kids but won’t stand for a lot of roughhousing. The Pekingese, a compact toy companion of regal bearing and a distinctive rolling gait, is one of several breeds created for the ruling classes of ancient China. These are sophisticated dogs of undying loyalty and many subtle delights.","Affectionate, Loyal, Regal in Manner",14,https://cdn2.thedogapi.com/images/ByIiml9Nm_1280.jpg,177
whippet,"At somewhere between 18 and 22 inches at the shoulder, the Whippet looks like a Greyhound, but smaller. The Whippet exhibits the classic “inverted S” lines of the sighthound. The deep chest and trim waist; a lean head supported by a long, arched neck; and slim but sturdy legs combine in a picture of an agile, fleet-footed athlete.Between bursts of intense pursuit, Whippets love to stretch out and relax for long hours, enjoying the role of a loving, and loved, companion. Whippets like a fenced yard to run in, but they do nicely in cozy apartments too—as long as they are exercised properly. Another plus for city dwellers: Whippets rarely bark. Despite the breed’s elegant looks, the Whippet is a robust, low-maintenance dog. The sleek, sweet-faced Whippet, the “Poor Man’s Racehorse,” is lightning quick. He is an amiable, dignified, and gentle soul, but give him something to chase and he’s all business. The name Whippet is synonymous with streamlined grace.","Affectionate, Playful, Calm",15,https://cdn2.thedogapi.com/images/Hyv-ne94m_1280.jpg,219
basenji,"Basenjis are small, graceful hounds standing 16 or 17 inches at the shoulder. They are recognizable by their glistening short coat, tightly curled tail, and wrinkled forehead and expressive almond-shaped eyes that convey a variety of subtle, humanlike emotions.Basenjis are a lovely sight at a standstill but more impressive yet at a fast trot, when they exhibit the long, smooth strides of a mini-racehorse. And yes, it’s true, they don’t bark, but they make their feelings known with an odd sound described as something between a chortle and a yodel. Basenjis are fastidious and will groom themselves like cats. This has been called a “cult breed”—small in numbers, but those lucky enough to own one do so with singular devotion. The Basenji, Africa’s “Barkless Dog,” is a compact, sweet-faced hunter of intelligence and poise. They are unique and beguiling pets, best for owners who can meet their exercise needs and the challenge of training this catlike canine.","Independent, Smart, Poised",14,https://cdn2.thedogapi.com/images/H1dGlxqNQ_1280.jpg,88
smooth fox terrier,"Smooths are quite similar to their close relatives, Wire Fox Terriers. Like their crispy-coated cousins, Smooths stand no more than 15.5 inches at the shoulder. The distinguishing physical trait, besides coat type, is the head: A Smooth’s head is more V-shaped than a Wire’s. The dense, flat coat is predominantly white, with black, tan, or black-and-tan markings. These cleverly made hunters are strong and sturdy, but never coarse and clunky. Short-backed and symmetrical, they move with the unwavering grace of a pendulum clock. The Smooth Fox Terrier, called the “gentleman of the terrier world,” is a lively, gregarious terrier with a devil-may-care attitude, originally developed for Britain’s traditional foxhunts. They are close relatives to Wire Fox Terriers.","Friendly, Independent, Amusing",15,https://cdn2.thedogapi.com/images/Syszjx9Em_1280.jpg,204
field spaniel,"Field Spaniels bear a family resemblance to Cocker, Springer, and Sussex spaniels. The distinctive glossy coat is either black, some shade of liver, or combinations of the two. They stand 17 or 18 inches at the shoulder and should present the picture of well-balanced, moderately proportioned hunting companions. The long, feathery ears frame a facial expression conveying a grave, gentle intelligence.Field Spaniels are sweet, sensitive souls with just enough independence to make life interesting. They are trustworthy with kids, tolerant of their fellow mammals, and responsive to training. The U.S. breed standard calls these tranquil house dogs “unusually docile,” but they are nonetheless playful and enjoy a good backyard romp. The sweet and sensitive Field Spaniel is famously docile, but vigorous and game for anything when at play or in the field. These close cousins to Cocker Spaniels and Springer Spaniels may be small in number, but their charm is enormous.","Sweet, Fun-Loving, Sensitive",13,https://cdn2.thedogapi.com/images/SkJfGecE7_1280.jpg,355
havanese,"Distinctive features of the Havanese include a curled-over tail and a gorgeous silky coat, which comes in a variety of colors. Some owners enjoy cording the coat, in the manner of a Puli, and others clip it short to reduce grooming time. Happily, Havenese are just as cute no matter what hairdo you give them.Their small but sturdy bodies, adaptable nature, and social skills make Havanese an ideal city dog, but they are content to be anywhere that they can command the attention of admirers young and old alike. Havanese, smart and trainable extroverts with the comic instincts of a born clown, are natural trick dogs. Havanese are also excellent watchdogs and take the job seriously, but will usually keep the barking to a minimum. Havanese, the only dog breed native to Cuba, are cheerful little dogs with a spring in their step and a gleam in their big, brown eyes. These vivacious and sociable companions are becoming especially popular with American city dwellers.","Intelligent, Outgoing, Funny",16,https://cdn2.thedogapi.com/images/rkXiGl9V7_1280.jpg,368
japanese chin,"Chin are the unrivaled noblemen of Japanese breeds. They’re tiny “indoorsy” companions, with an unmistakably Eastern look and bearing. The head is large, the muzzle short, and the round, dark eyes convey, as Chin fans like to say, a “look of astonishment.” The profuse mane around the neck and shoulders, the plumed tail arching over the back, and the pants or “culottes” on the hind legs project the elegant, exotic appearance so typical of Asia’s royal line of laptop cuddle bugs. The Japanese Chin is a charming toy companion of silky, profuse coat and an unmistakably aristocratic bearing. Often described as a distinctly “feline” breed, this bright and amusing lapdog is fastidious, graceful, and generally quiet.","Charming, Noble, Loving",12,https://cdn2.thedogapi.com/images/r1H6feqEm_1280.jpg,158
keeshond,"These square, sturdy companions descend from the same ancient stock as other spitz types, such as Pomeranians and Samoyeds. Typically “spitzy,” Keeshonden have a foxy face, pointed ears, an abundant coat, and a plumed tail carried high over the back. A unique breed characteristic—and one of the most charming hallmarks in all dogdom—is the “spectacles.” These shadings and markings around the eyes give the impression that a Kees is wearing designer eyewear. The specs draw attention to an alert, intelligent expression. The amiable Keeshond is a medium-sized spitz dog of ample coat, famous for the distinctive “spectacles” on his foxy face. Once a fixture on the canal barges of his native Holland, the Kees was, and remains, a symbol of Dutch patriotism.","Friendly, Lively, Outgoing",15,https://cdn2.thedogapi.com/images/S1GAGg9Vm_1280.jpg,160
american eskimo dog,"The American Eskimo Dog comes in three sizes—standard, miniature, and toy—standing as tall as 19 inches at the shoulder or as short as 9 inches. Distinctive traits include a dense, sparkling white coat with a lion-like ruff around the chest and shoulders; a smiling face, with black nose, lips, and eye-rims that convey a keen, intelligent expression; and a plumed tail carried over the back. Some Eskies have markings with the delicious color name “biscuit cream.” They move with a bold and agile gait.Eskies are social animals and can develop problem behaviors when neglected or undertrained—they insist on being part of family life. Among the most trainable of breeds, the clever, kid-friendly Eskie practically invented the phrase “eager to please.” The American Eskimo Dog combines striking good looks with a quick and clever mind in a total brains-and-beauty package. Neither shy nor aggressive, Eskies are always alert and friendly, though a bit conservative when making new friends.","Playful, Perky, Smart",15,https://cdn2.thedogapi.com/images/FXigpiT_A.jpg,81
american water spaniel,"American Water Spaniels are muscular midsize gundogs, not flashy in looks or performance, and recognizable by a luscious brown coat that is either tightly curled or wavy. Bred to work the icy waters and marshy banks of the Great Lakes region, these spaniels are ideally outfitted for the job: The coat is dense and waterproof, the feet are thickly padded, the toes are webbed, and the body is small enough for the dog to hop in and out of a skiff without rocking the boat. The breed’s admirers describe a merry, intelligent, and versatile spaniel suited to a variety of dog sports. As hunters, they combine the working traits of spaniels and retrievers. The key to the American Water Spaniel’s happiness is activity, especially alongside their adored human. An underemployed dog can be barky and destructive. The American Water Spaniel, native to the lake country of the upper Midwest, is an upbeat, outdoorsy athlete who loves to hunt and swim. They are known to be happy, eager, and charming, though aloof with strangers and a bit stubborn.","Eager, Happy, Charming",14,https://cdn2.thedogapi.com/images/SkmRJl9VQ_1280.jpg,325
coton de tulear,"The Coton de Tulear (KO-Tone Dih TOO-Lay-ARE) is a small, immensely charming dog standing between 9 and 11 inches high and weighing anywhere from 8 to 13 pounds. Cotons are known for a profuse white coat that is as soft as cotton (or, as the French say, “coton”). Their primary job is to provide amusement, comfort, and companionship.The bond between Cotons and their people is so tight that owners discuss it in human terms. Coton fanciers describe them as “witty” companions “at times boisterous but never demanding” and “naturally clownish and lighthearted,” who possess a “remarkably gentle, sympathetic awareness.” Amusing traits of these long-lived jesters include unique vocalizations and a knack for walking on their hind legs. The Coton de Tulear, “Royal Dog of Madagascar,” is a bright, happy-go-lucky companion dog whose favorite activities include clowning, cavorting, and following their special human around the house. The Coton is small but robustly sturdy.","Charming, Bright, Happy-Go-Lucky",19,https://cdn2.thedogapi.com/images/SyviZlqNm_1280.jpg,346
papillon,"A tiny dog, measuring 8 to 11 inches at the shoulder, you can still spot a Papillon a block away thanks to the large, wing-shaped ears that give the breed its name (“papillon” is French for “butterfly”). Some Paps have erect ears; in others, known as the Phalene type, the ears are down. Paps are dainty and elegant, with a plumed tail, and a long, silky coat of several color combinations, the base color being white. More robust than they look, Paps are little dogs for all seasons and reasons. They thrive in warm or cool climates, in town or country, and are eager to join family fun. They are excellent agility dogs and are consistent winners at the sport’s highest levels; less ambitious owners can train them to do all kinds of tricks. The quick, curious Papillon is a toy dog of singular beauty and upbeat athleticism. Despite his refined appearance, the Pap is truly a “doggy dog” blessed with a hardy constitution. Papillon fanciers describe their breed as happy, alert, and friendly.","Friendly, Alert, Happy",16,https://cdn2.thedogapi.com/images/SkJj7e547_1280.jpg,175
pumi,"The Pumi (POO-mee; plural Pumik) was conceived as a compact, quick, and fearless sheepherder capable of moving flocks on the narrow roads connecting the pastures of western Hungary. At a glance, it might be hard to believe that this cuddly charmer was born to do such tough work. With his coat of corkscrew curls, circular tail, expressive ears, and distinctively whimsical look, the Pumi is all kinds of cute. But beneath the curls is a lean, deep-chested herder with a seemingly endless capacity for work and play. A compact, nimble-footed herder of Hungarian origin, the Pumi is easily recognized by a corkscrew-curled coat, two-thirds erect ears, and distinctive whimsical expression. The breed is famed for its intelligence, agility, and boldness.","Energetic, Lively, Ready to Work",13,https://cdn2.thedogapi.com/images/SyRe4xcN7_1280.jpg,406
tibetan mastiff,"Coming face to face with this ancient behemoth, an intruder up to no good will likely move on to easier pickings. TMs can stand 26 inches at the shoulder and weigh well over 100 pounds. It’s impossible to discuss this breed without leaning on words like “powerful,” “muscular,” “massive,” and “substantial.” And yet, TMs are quite light-footed and will meet a perceived threat with surprising agility. The broad head, with its high-set, V-shaped ears and expressive brown eyes, projects a noble, sagacious expression. Watchful, aloof, imposing, and intimidating: The ancient Tibetan Mastiff is the guardian dog supreme. These densely-coated giants are mellow and calm around the house, sweetly devoted to family, and aloof and territorial with strangers.","Independent, Reserved, Intelligent",12,https://cdn2.thedogapi.com/images/SkM9sec47_1280.jpg,419
samoyed,"Samoyeds, the smiling sledge dogs, were bred for hard work in the world’s coldest locales. In the Siberian town of Oymyakon, for instance, temperatures of minus-60 degrees are common. The Sammy’s famous white coat is thick enough to protect against such brutal conditions.Powerful, agile, tireless, impervious to cold—Sammies are drop-dead gorgeous but highly functional. Even their most delightful feature, a perpetual smile, has a practical function: The mouth’s upturned corners keep Sammies from drooling, preventing icicles from forming on the face.A Sammy sentenced to solitary confinement in the yard is a miserable—and destructive—creature. These are smart, social, mischievous dogs who demand love and attention. Sammies need a very firm but loving hand in training. As pack animals, they must learn early who the alpha dog is—and the alpha dog must be you. The Samoyed is a substantial but graceful dog standing anywhere from 19 to a bit over 23 inches at the shoulder. Powerful, tireless, with a thick all-white coat impervious to cold—Sammies are perfectly beautiful but highly functional. Even their most delightful feature, a perpetual smile, has a practical function: The upturned corners of the mouth keep Sammies from drooling, preventing icicles from forming on the face.","Adaptable, Friendly, Gentle",14,https://cdn2.thedogapi.com/images/S1T8Ee9Nm_1280.jpg,192
schipperke,"Standing no higher than 13 inches, Schipperkes are small dogs built for hard work. Schips were created as ratters and watchdogs. Their powerful jaws, necks, and forequarters—coupled with a stealthy, catlike hunting style—make them ideal rat-catching machines. The black coat is profuse around the neck, shoulders, and legs, giving the breed a silhouette that accentuates a thick, substantial body. The foxy face completes the unique look of a unique breed. If you can’t tell a Schipperke from an ordinary dog, you simply haven’t been paying attention. The Schipperke, Belgium's ""little captain,"" is the traditional barge dog of the Low Countries. Curious, lively, and intense but mischievous, this little black dog is a robust, long-lived companion for whom there is never a dull moment.","Confident, Alert, Curious",14,https://cdn2.thedogapi.com/images/SyBvVgc47_1280.jpg,193
rhodesian ridgeback,"Beneath the Ridgeback’s trademark ridge is a whole lot of hound: Ridgebacks are fast and powerful athletes who can weigh between 70 and 85 pounds, and oftentimes more. They come in only one color – wheaten – which spans every shade seen in a wheat field, from pale flaxen to the burnished red of a maturing crop. Ridgebacks also have two nose colors: black and the less commonly seen brown.The formidable Ridgeback can be strong willed, independent, and sometimes domineering. Ridgebacks must be guided with a firm but fair hand from puppyhood. They are faithful friends, protective of their loved ones and meltingly affectionate with those whom they trust. Still, a Ridgeback can be too much hound for the novice dog owner. The Rhodesian Ridgeback is an all-purpose “Renaissance hound” whose hallmark is the ridge, or stripe of backward-growing hair, on his back. Though the breed was made famous in its native Africa for its skill at tracking and baying – but never, ever killing – lions, today Ridgebacks are cherished family dogs whose owners must be prepared to deal with their independence and strong prey drive.","Affectionate, Dignified, Even-Tempered",12,https://cdn2.thedogapi.com/images/By9zNgqE7_1280.jpg,188
irish terrier,"Irish Terriers are the prototype of a long-legged terrier. Standing about 18 inches at the shoulder, they’re sturdy but lithe and graceful. Every line of the body is eye-catching, and the overall picture is beautifully balanced. The tight red coat is as fiery as the breed’s temperament. ITs are a dog lover’s delight: If your heart doesn’t go pitty-pat at the sight of this Technicolor terrier framed against the vivid greens of the Irish countryside, forget dogs and buy a goldfish. The Irish Terrier, “Daredevil” of the Emerald Isle, is a bold, dashing, and courageous terrier of medium size. Known for his fiery red coat and a temperament to match, the Irish Terrier is stouthearted at work and tenderhearted at home.","Bold, Dashing, Tenderhearted",15,https://cdn2.thedogapi.com/images/By-hGecVX_1280.jpg,373
italian greyhound,"IGs are Greyhounds in miniature—more slender, but a Greyhound’s equal in grace and elegance. Standing ideally 13 to 15 inches at the shoulder, they present the sleek, curving lines common to all coursing hounds. Distinguishing features are the long, fine-boned legs.IGs combine the attentiveness of lapdogs with the complexity of ancient, aristocratic hounds. Bred for centuries to be doting companions and jesters, these high-stepping charmers refuse to be ignored. “On the whole,” writes an IG expert, “the breed would much rather be in your lap or bed than on the floor.” They are, though, true sighthounds and will bolt after quick-moving prey at the drop of a cat. A short-coat, low-fat breed, IGs require extra care in cold weather A true Greyhound in miniature, the elegant Italian Greyhound is an alert, playful, and highly affectionate toy companion. IGs make decorative couch dogs, but at heart they are flash-and-dash coursing hounds with an instinct for pursuit.","Playful, Alert, Sensitive",15,https://cdn2.thedogapi.com/images/SJAnzg9NX_1280.jpg,155
cavalier king charles spaniel,"The Cavalier’s all-around beauty, regal grace, and even temper mark him as one of dogdom’s noblemen. A toy spaniel no more than 13 inches high, the Cavalier draws you in with his face: The sweet, gentle, melting expression emanating from large, round eyes is a breed hallmark. Another is the silky, richly-colored coat that can be one of four distinct varieties.Cavaliers may be aristocrats, but they gladly descend from their royal high horse for a backyard frolic or a squirrel chase. They get along nicely with children and other dogs. Adaptable Cavaliers do equally well with active owners and homebodies—they can be upbeat athletes or shameless couch potatoes, depending on an owner’s lifestyle. The Cavalier King Charles Spaniel wears his connection to British history in his breed’s name. Cavaliers are the best of two worlds, combining the gentle attentiveness of a toy breed with the verve and athleticism of a sporting spaniel.","Affectionate, Gentle, Graceful",15,https://cdn2.thedogapi.com/images/HJRBbe94Q_1280.jpg,116
alaskan malamute,"The Alaskan Malamute stands 23 to 25 inches at the shoulder and weighs 75 to 85 pounds. Everything about Mals suggests their origin as an arctic sled dog: The heavy bone, deep chest, powerful shoulders, and dense, weatherproof coat all scream, “I work hard for a living!” But their almond-shaped brown eyes have an affectionate sparkle, suggesting Mals enjoy snuggling with their humans when the workday is done. Mals are pack animals. And in your family “pack,” the leader must be you. If a Mal doesn’t respect you, he will wind up owning you instead of the other way around. Firm but loving training should begin in early puppyhood. That said, a well-behaved Mal is a joy to be with—playful, gentle, friendly, and great with kids. An immensely strong, heavy-duty worker of spitz type, the Alaskan Malamute is an affectionate, loyal, and playful but dignified dog recognizable by his well-furred plumed tail carried over the back, erect ears, and substantial bone.","Affectionate, Loyal, Playful",14,https://cdn2.thedogapi.com/images/dW5UucTIW.jpg,79
miniature pinscher,"Min Pins are sturdy, compact dogs standing no more than 12.5 inches at the shoulder. The smooth, shiny coat comes in two shades of solid red, or chocolate-and-rust or black-and-rust. The dark, slightly oval eyes and high-set ears help bring out a self-possessed, “big dog” personality. A distinguishing characteristic is the Min Pin’s high-stepping “hackney” gait, reminiscent of a hackney horse at the trot. The leggy Miniature Pinscher is known to fans as the “King of Toys.” This proud, fearless, fun-loving toy breed of lustrous coat and a compact, wedge-shaped physique is a true personality dog, known for a high-stepping “hackney” gait.","Fearless, Fun-Loving, Proud",16,https://cdn2.thedogapi.com/images/Hy3H7g94X_1280.jpg,168
staffordshire bull terrier,"At 14 to 16 inches, Staffordshire Bull Terriers do not stand particularly tall. But, weighing anywhere between 24 to 38 pounds, they pour a gallon of dog into a quart-size container. These are rock-solid, muscular terriers. The head is short and broad, with pronounced cheek muscles, and the tight-fitting coat comes in several colors.Staffordshire Bull Terriers still resemble the pugnacious brawlers who once ruled England’s fighting pits. But today’s responsible breeders are producing sweet-natured, family-oriented dogs with a reputation for being patient with kids. These are true-blue loyal companions, but the old fighting instinct still lurks within—making it vital that pups be socialized with other dogs to learn good canine manners. From his brawling past, the muscular but agile Staffordshire Bull Terrier retains the traits of courage and tenacity. Happily, good breeding transformed this former gladiator into a mild, playful companion with a special feel for kids.","Clever, Brave, Tenacious",14,https://cdn2.thedogapi.com/images/H1zSie9V7_1280.jpg,207
american staffordshire terrier,"AmStaffs are stocky, muscular bull-type terriers standing 17 to 19 inches at the shoulder. The head is broad, the jaws well defined, the cheekbones pronounced, and the dark, round eyes are set wide apart. AmStaff movement is agile and graceful, with a springy gait that advertises the breed’s innate confidence. The stiff, glossy coat comes in many colors and patterns. AmStaffers describe their dogs as keenly aware of their surroundings, game for anything, and lovable “personality dogs” around the house. AmStaffs like mental and physical challenges. They are highly trainable, as their many forays into showbiz suggest. When acquiring an AmStaff, there’s only one way to go: Do your homework and find a responsible AKC breeder. The American Staffordshire Terrier, known to their fans as AmStaffs, are smart, confident, good-natured companions. Their courage is proverbial. A responsibly bred, well-socialized AmStaff is a loyal, trustworthy friend to the end.","Confident, Smart, Good-Natured",16,https://cdn2.thedogapi.com/images/rJIakgc4m_1280.jpg,82
australian shepherd,"The Australian Shepherd, the cowboy’s herding dog of choice, is a medium-sized worker with a keen, penetrating gaze in the eye. Aussie coats offer different looks, including merle (a mottled pattern with contrasting shades of blue or red). In all ways, they’re the picture of rugged and agile movers of stock. Aussies exhibit an irresistible impulse to herd, anything: birds, dogs, kids. This strong work drive can make Aussies too much dog for a sedentary pet owner. Aussies are remarkably intelligent, quite capable of hoodwinking an unsuspecting novice owner. In short, this isn’t the pet for everyone. But if you’re looking for a brainy, tireless, and trainable partner for work or sport, your search might end here. The Australian Shepherd, a lean, tough ranch dog, is one of those “only in America” stories: a European breed perfected in California by way of Australia. Fixtures on the rodeo circuit, they are closely associated with the cowboy life.","Smart, Work-Oriented, Exuberant",15,https://cdn2.thedogapi.com/images/B1-llgq4m_1280.jpg,86
pembroke welsh corgi,"At 10 to 12 inches at the shoulder and 27 to 30 pounds, a well-built male Pembroke presents a big dog in a small package. Short but powerful legs, muscular thighs, and a deep chest equip him for a hard day’s work. Built long and low, Pembrokes are surprisingly quick and agile. They can be red, sable, fawn, and black and tan, with or without white markings.The Pembroke is a bright, sensitive dog who enjoys play with his human family and responds well to training. As herders bred to move cattle, they are fearless and independent. They are vigilant watchdogs, with acute senses and a “big dog” bark. Families who can meet their bold but kindly Pembroke’s need for activity and togetherness will never have a more loyal, loving pet. Among the most agreeable of all small housedogs, the Pembroke Welsh Corgi is a strong, athletic, and lively little herder who is affectionate and companionable without being needy. They are one of the world's most popular herding breeds.","Affectionate, Smart, Alert",13,https://cdn2.thedogapi.com/images/rJ6iQeqEm_1280.jpg,585
french bulldog,"The French Bulldog resembles a Bulldog in miniature, except for the large, erect “bat ears” that are the breed’s trademark feature. The head is large and square, with heavy wrinkles rolled above the extremely short nose. The body beneath the smooth, brilliant coat is compact and muscular.The bright, affectionate Frenchie is a charmer. Dogs of few words, Frenchies don’t bark much—but their alertness makes them excellent watchdogs. They happily adapt to life with singles, couples, or families, and do not require a lot of outdoor exercise. They get on well with other animals and enjoy making new friends of the human variety. It is no wonder that city folk from Paris to Peoria swear by this vastly amusing and companionable breed. The one-of-a-kind French Bulldog, with his large bat ears and even disposition, is one of the world’s most popular small-dog breeds, especially among city dwellers. The Frenchie is playful, alert, adaptable, and completely irresistible.","Adaptable, Playful, Smart",12,https://cdn2.thedogapi.com/images/HyWNfxc47_1280.jpg,358
